PostalCode,Province,search,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M3A,ON,"M3A, ON",43.7532586,-79.3296565,Food & Drink Shop,Park,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
M6E,ON,"M6E, ON",43.6890256,-79.453512,Park,Women's Store,Pool,Zoo,Fair,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit
M4J,ON,"M4J, ON",43.685347,-79.3381065,Park,Metro Station,Convenience Store,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
M4N,ON,"M4N, ON",43.7280205,-79.3887901,Swim School,Park,Bus Line,Zoo,Fair,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
M9N,ON,"M9N, ON",43.706876,-79.5181884,Park,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair,Farm
M2P,ON,"M2P, ON",43.7527583,-79.4000493,Park,Convenience Store,Bank,Zoo,Falafel Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
M9R,ON,"M9R, ON",43.6889054,-79.5547244,Sandwich Place,Mobile Phone Shop,Park,Zoo,Fair,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
M1V,ON,"M1V, ON",43.8152522,-79.2845772,Playground,Park,Zoo,Fair,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
M4W,ON,"M4W, ON",43.6795626,-79.3775294,Park,Playground,Trail,Zoo,Fair,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit
M8X,ON,"M8X, ON",43.6536536,-79.5069436,Pool,Park,River,Zoo,Fair,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit
V2X,BC,"V2X, BC",49.2227573,-122.6175451,Track,Park,Zoo,Drugstore,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
V3B,BC,"V3B, BC",49.2815819,-122.7535881,Auto Workshop,Playground,Park,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop
V3T,BC,"V3T, BC",49.192124,-122.8563663,Park,Clothing Store,Zoo,Drugstore,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
V4L,BC,"V4L, BC",49.0382446,-123.0535738,Lawyer,Business Service,Park,Zoo,Eastern European Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
V7M,BC,"V7M, BC",49.3215864,-123.0812283,Park,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair,Farm
V8Y,BC,"V8Y, BC",48.5081043,-123.3666918,Park,Zoo,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair,Farm
V8Z,BC,"V8Z, BC",48.4867279,-123.3977059,Home Service,Pool,Park,Falafel Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Fair
